model,AUC,NLL
ips,"[0.6586, 0.0]","[-0.6959, 0.0]"
bridge_var1,"[0.7113, 0.0]","[-0.861, 0.0]"
bridge_var2,"[0.7002, 0.0]","[-0.7683, 0.0]"
refine,"[0.7096, 0.0]","[-1.1137, 0.0]"
cause,"[0.7074, 0.0]","[-0.9245, 0.0]"
local_weightc,"[0.69, 0.0]","[-0.8092, 0.0]"
global_weightc,"[0.703, 0.0]","[-0.8896, 0.0]"
delay,"[0.6981, 0.0]","[-0.8592, 0.0]"
alter_featuree,"[0.709, 0.0]","[-0.818, 0.0]"
concat_featuree,"[0.6979, 0.0]","[-0.8673, 0.0]"
