model,AUC,NLL
ips,"[0.6747, 0.0]","[-0.4776, 0.0]"
bridge_var1,"[0.7086, 0.0]","[-0.5242, 0.0]"
bridge_var2,"[0.7085, 0.0]","[-0.5124, 0.0]"
refine,"[0.716, 0.0]","[-0.6022, 0.0]"
cause,"[0.7037, 0.0]","[-0.5359, 0.0]"
local_weightc,"[0.709, 0.0]","[-0.5153, 0.0]"
global_weightc,"[0.708, 0.0]","[-0.5255, 0.0]"
delay,"[0.7094, 0.0]","[-0.5193, 0.0]"
alter_featuree,"[0.708, 0.0]","[-0.5149, 0.0]"
concat_featuree,"[0.7033, 0.0]","[-0.5313, 0.0]"
