model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Bridge-Var1-MF,10,0,0.1,0.1,100,none,0,128,0,,"[0.7283, 0.0]","[-0.5771, 0.0]"
Bridge-Var2-MF,10,0,0.1,0.01,100,none,0,128,0,,"[0.7264, 0.0]","[-0.58467, 0.0]"
Bridge-Var3-MF,10,0,0.1,0.001,100,none,0,128,0,,"[0.72598, 0.0]","[-0.58572, 0.0]"
Bridge-Var4-MF,10,0,0.1,0.0001,100,none,0,128,0,,"[0.72593, 0.0]","[-0.58584, 0.0]"
Bridge-Var5-MF,10,0,0.1,1.00E-05,100,none,0,128,0,,"[0.72589, 0.0]","[-0.58588, 0.0]"
Bridge-Var6-MF,10,0,0.01,0.1,100,none,0,128,0,,"[0.7283, 0.0]","[-0.5771, 0.0]"
Bridge-Var7-MF,10,0,0.01,0.01,100,none,0,128,0,,"[0.72639, 0.0]","[-0.58467, 0.0]"
Bridge-Var8-MF,10,0,0.01,0.001,100,none,0,128,0,,"[0.72598, 0.0]","[-0.58572, 0.0]"
Bridge-Var9-MF,10,0,0.01,0.0001,100,none,0,128,0,,"[0.72593, 0.0]","[-0.58584, 0.0]"
Bridge-Var10-MF,10,0,0.01,1.00E-05,100,none,0,128,0,,"[0.72589, 0.0]","[-0.58588, 0.0]"
Bridge-Var11-MF,10,0,0.001,0.1,100,none,0,128,0,,"[0.72038, 0.0]","[-0.57531, 0.0]"
Bridge-Var12-MF,10,0,0.001,0.01,100,none,0,128,0,,"[0.71634, 0.0]","[-0.58494, 0.0]"
Bridge-Var13-MF,10,0,0.001,0.001,100,none,0,128,0,,"[0.71613, 0.0]","[-0.58626, 0.0]"
Bridge-Var14-MF,10,0,0.001,0.0001,100,none,0,128,0,,"[0.71616, 0.0]","[-0.58641, 0.0]"
Bridge-Var15-MF,10,0,0.001,1.00E-05,100,none,0,128,0,,"[0.71617, 0.0]","[-0.58647, 0.0]"
Bridge-Var16-MF,10,0,0.0001,0.1,100,none,0,128,0,,"[0.7193, 0.0]","[-0.58487, 0.0]"
Bridge-Var17-MF,10,0,0.0001,0.01,100,none,0,128,0,,"[0.71498, 0.0]","[-0.59266, 0.0]"
Bridge-Var18-MF,10,0,0.0001,0.001,100,none,0,128,0,,"[0.71441, 0.0]","[-0.59402, 0.0]"
Bridge-Var19-MF,10,0,0.0001,0.0001,100,none,0,128,0,,"[0.71435, 0.0]","[-0.5942, 0.0]"
Bridge-Var20-MF,10,0,0.0001,1.00E-05,100,none,0,128,0,,"[0.71426, 0.0]","[-0.59435, 0.0]"
Bridge-Var21-MF,10,0,1.00E-05,0.1,100,none,0,128,0,,"[0.71896, 0.0]","[-0.58485, 0.0]"
Bridge-Var22-MF,10,0,1.00E-05,0.01,100,none,0,128,0,,"[0.71442, 0.0]","[-0.59277, 0.0]"
Bridge-Var23-MF,10,0,1.00E-05,0.001,100,none,0,128,0,,"[0.71397, 0.0]","[-0.59415, 0.0]"
Bridge-Var24-MF,10,0,1.00E-05,0.0001,100,none,0,128,0,,"[0.71411, 0.0]","[-0.59432, 0.0]"
Bridge-Var25-MF,10,0,1.00E-05,1.00E-05,100,none,0,128,0,,"[0.71409, 0.0]","[-0.59447, 0.0]"
