model,AUC,NLL
ips,"[0.7214, 0.0]","[-0.449, 0.0]"
bridge_var1,"[0.7318, 0.0]","[-0.5743, 0.0]"
bridge_var2,"[0.7297, 0.0]","[-0.5591, 0.0]"
refine,"[0.7427, 0.0]","[-0.6497, 0.0]"
cause,"[0.7281, 0.0]","[-0.5866, 0.0]"
local_weightc,"[0.7283, 0.0]","[-0.5714, 0.0]"
global_weightc,"[0.7293, 0.0]","[-0.5822, 0.0]"
delay,"[0.7306, 0.0]","[-0.5607, 0.0]"
alter_featuree,"[0.731, 0.0]","[-0.574, 0.0]"
concat_featuree,"[0.7296, 0.0]","[-0.5816, 0.0]"
