model,AUC,NLL
refine,"[0.7432, 0.0]","[-0.6427, 0.0]"
refine,"[0.7419, 0.0]","[-0.6418, 0.0]"
refine,"[0.7435, 0.0]","[-0.6654, 0.0]"
refine,"[0.7357, 0.0]","[-0.659, 0.0]"
