model,AUC,NLL
ips,"[0.7193, 0.0]","[-0.457, 0.0]"
bridge_var1,"[0.7292, 0.0]","[-0.5854, 0.0]"
bridge_var2,"[0.7295, 0.0]","[-0.5806, 0.0]"
refine,"[0.7414, 0.0]","[-0.6462, 0.0]"
cause,"[0.7274, 0.0]","[-0.5881, 0.0]"
local_weightc,"[0.7296, 0.0]","[-0.5792, 0.0]"
global_weightc,"[0.7289, 0.0]","[-0.5851, 0.0]"
delay,"[0.7257, 0.0]","[-0.5693, 0.0]"
alter_featuree,"[0.7282, 0.0]","[-0.5841, 0.0]"
concat_featuree,"[0.7283, 0.0]","[-0.586, 0.0]"
