model,AUC,NLL
ips,"[0.7184, 0.0]","[-0.4525, 0.0]"
bridge_var1,"[0.7263, 0.0]","[-0.594, 0.0]"
bridge_var2,"[0.7257, 0.0]","[-0.5972, 0.0]"
refine,"[0.7394, 0.0]","[-0.6542, 0.0]"
cause,"[0.7271, 0.0]","[-0.5888, 0.0]"
local_weightc,"[0.7286, 0.0]","[-0.5834, 0.0]"
global_weightc,"[0.7276, 0.0]","[-0.5875, 0.0]"
delay,"[0.7212, 0.0]","[-0.5776, 0.0]"
alter_featuree,"[0.7247, 0.0]","[-0.5922, 0.0]"
concat_featuree,"[0.7276, 0.0]","[-0.5887, 0.0]"
