model,AUC,NLL
ips,"[0.6591, 0.0]","[-0.5945, 0.0]"
bridge_var1,"[0.7179, 0.0]","[-0.7071, 0.0]"
bridge_var2,"[0.7153, 0.0]","[-0.6609, 0.0]"
refine,"[0.7187, 0.0]","[-0.8322, 0.0]"
cause,"[0.7062, 0.0]","[-0.7601, 0.0]"
local_weightc,"[0.7095, 0.0]","[-0.6909, 0.0]"
global_weightc,"[0.7112, 0.0]","[-0.7242, 0.0]"
delay,"[0.7129, 0.0]","[-0.7092, 0.0]"
alter_featuree,"[0.7183, 0.0]","[-0.6918, 0.0]"
concat_featuree,"[0.7124, 0.0]","[-0.7296, 0.0]"
