model,AUC
refine,"[0.7389, 0.0]"
refine,"[0.7402, 0.0]"
refine,"[0.7404, 0.0]"
refine,"[0.7402, 0.0]"
refine,"[0.7407, 0.0]"
refine,"[0.7418, 0.0]"
refine,"[0.7425, 0.0]"
refine,"[0.7426, 0.0]"
refine,"[0.7425, 0.0]"
refine,"[0.7418, 0.0]"
refine,"[0.7428, 0.0]"
refine,"[0.7427, 0.0]"
refine,"[0.7428, 0.0]"
