model,AUC,NLL
ips,"[0.7194, 0.0]","[-0.4546, 0.0]"
bridge_var1,"[0.7305, 0.0]","[-0.5782, 0.0]"
bridge_var2,"[0.731, 0.0]","[-0.5668, 0.0]"
refine,"[0.7422, 0.0]","[-0.6453, 0.0]"
cause,"[0.7279, 0.0]","[-0.5867, 0.0]"
local_weightc,"[0.7302, 0.0]","[-0.575, 0.0]"
global_weightc,"[0.7289, 0.0]","[-0.5835, 0.0]"
delay,"[0.7279, 0.0]","[-0.5634, 0.0]"
alter_featuree,"[0.7292, 0.0]","[-0.5775, 0.0]"
concat_featuree,"[0.7285, 0.0]","[-0.5832, 0.0]"
