model,AUC,NLL
ips,"[0.6674, 0.0]","[-0.5085, 0.0]"
bridge_var1,"[0.7179, 0.0]","[-0.6072, 0.0]"
bridge_var2,"[0.7186, 0.0]","[-0.5816, 0.0]"
refine,"[0.7243, 0.0]","[-0.7097, 0.0]"
cause,"[0.7109, 0.0]","[-0.637, 0.0]"
local_weightc,"[0.7168, 0.0]","[-0.5962, 0.0]"
global_weightc,"[0.7154, 0.0]","[-0.6165, 0.0]"
delay,"[0.7174, 0.0]","[-0.6067, 0.0]"
alter_featuree,"[0.7184, 0.0]","[-0.5943, 0.0]"
concat_featuree,"[0.7142, 0.0]","[-0.6224, 0.0]"
