model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Bridge-Var2-AE,200,0,0.1,0.1,100,none,0,128,0,,"[0.60045, 0.0]","[-0.53979, 0.0]"
Bridge-Var2-AE,200,0,0.1,0.01,100,none,0,128,0,,"[0.59549, 0.0]","[-0.589, 0.0]"
Bridge-Var2-AE,200,0,0.1,0.001,100,none,0,128,0,,"[0.58279, 0.0]","[-0.60759, 0.0]"
Bridge-Var2-AE,200,0,0.1,0.0001,100,none,0,128,0,,"[0.58119, 0.0]","[-0.60991, 0.0]"
Bridge-Var2-AE,200,0,0.1,1e-05,100,none,0,128,0,,"[0.58111, 0.0]","[-0.61015, 0.0]"
Bridge-Var2-AE,200,0,0.01,0.1,100,none,0,128,0,,"[0.60049, 0.0]","[-0.53979, 0.0]"
Bridge-Var2-AE,200,0,0.01,0.01,100,none,0,128,0,,"[0.59551, 0.0]","[-0.589, 0.0]"
Bridge-Var2-AE,200,0,0.01,0.001,100,none,0,128,0,,"[0.58274, 0.0]","[-0.6076, 0.0]"
Bridge-Var2-AE,200,0,0.01,0.0001,100,none,0,128,0,,"[0.5812, 0.0]","[-0.60992, 0.0]"
Bridge-Var2-AE,200,0,0.01,1e-05,100,none,0,128,0,,"[0.58116, 0.0]","[-0.61016, 0.0]"
Bridge-Var2-AE,200,0,0.001,0.1,100,none,0,128,0,,"[0.60317, 0.0]","[-0.68952, 0.0]"
Bridge-Var2-AE,200,0,0.001,0.01,100,none,0,128,0,,"[0.59596, 0.0]","[-0.58875, 0.0]"
Bridge-Var2-AE,200,0,0.001,0.001,100,none,0,128,0,,"[0.58312, 0.0]","[-0.60731, 0.0]"
Bridge-Var2-AE,200,0,0.001,0.0001,100,none,0,128,0,,"[0.58131, 0.0]","[-0.60964, 0.0]"
Bridge-Var2-AE,200,0,0.001,1e-05,100,none,0,128,0,,"[0.58124, 0.0]","[-0.60988, 0.0]"
Bridge-Var2-AE,200,0,0.0001,0.1,100,none,0,128,0,,"[0.67168, 0.0]","[-0.62447, 0.0]"
Bridge-Var2-AE,200,0,0.0001,0.01,100,none,0,128,0,,"[0.68969, 0.0]","[-0.63922, 0.0]"
Bridge-Var2-AE,200,0,0.0001,0.001,100,none,0,128,0,,"[0.68618, 0.0]","[-0.64889, 0.0]"
Bridge-Var2-AE,200,0,0.0001,0.0001,100,none,0,128,0,,"[0.68549, 0.0]","[-0.65203, 0.0]"
Bridge-Var2-AE,200,0,0.0001,1e-05,100,none,0,128,0,,"[0.68541, 0.0]","[-0.64972, 0.0]"
Bridge-Var2-AE,200,0,1e-05,0.1,100,none,0,128,0,,"[0.67712, 0.0]","[-0.63737, 0.0]"
Bridge-Var2-AE,200,0,1e-05,0.01,100,none,0,128,0,,"[0.70754, 0.0]","[-0.56274, 0.0]"
Bridge-Var2-AE,200,0,1e-05,0.001,100,none,0,128,0,,"[0.70464, 0.0]","[-0.58054, 0.0]"
Bridge-Var2-AE,200,0,1e-05,0.0001,100,none,0,128,0,,"[0.70368, 0.0]","[-0.58306, 0.0]"
Bridge-Var2-AE,200,0,1e-05,1e-05,100,none,0,128,0,,"[0.70351, 0.0]","[-0.58346, 0.0]"
