model,AUC,NLL
bridge_var1,"[0.71455, 0.0]","[-0.63905, 0.0]"
bridge_var2,"[0.69585, 0.0]","[-0.6223, 0.0]"
refine,"[0.69316, 0.0]","[-0.72578, 0.0]"
local_weightc,"[0.69477, 0.0]","[-0.70194, 0.0]"
global_weightc,"[0.69428, 0.0]","[-0.70162, 0.0]"
delay,"[0.69417, 0.0]","[-0.70249, 0.0]"
alter_featuree,"[0.68937, 0.0]","[-0.73963, 0.0]"
concat_featuree,"[0.68933, 0.0]","[-0.74549, 0.0]"
