model,AUC,NLL
bridge_var1,"[0.72745, 0.0]","[-0.57509, 0.0]"
bridge_var2,"[0.72592, 0.0]","[-0.57142, 0.0]"
refine,"[0.72682, 0.0]","[-0.62551, 0.0]"
local_weightc,"[0.72381, 0.0]","[-0.58459, 0.0]"
global_weightc,"[0.72385, 0.0]","[-0.58459, 0.0]"
delay,"[0.72157, 0.0]","[-0.58773, 0.0]"
alter_featuree,"[0.72204, 0.0]","[-0.58364, 0.0]"
concat_featuree,"[0.717, 0.0]","[-0.58248, 0.0]"
