model,AUC,NLL
bridge_var1,"[0.7205, 0.0]","[-0.603, 0.0]"
bridge_var2,"[0.70323, 0.0]","[-0.6308, 0.0]"
refine,"[0.72533, 0.0]","[-0.64579, 0.0]"
local_weightc,"[0.72251, 0.0]","[-0.58666, 0.0]"
global_weightc,"[0.72237, 0.0]","[-0.58682, 0.0]"
delay,"[0.72001, 0.0]","[-0.58778, 0.0]"
alter_featuree,"[0.72405, 0.0]","[-0.5912, 0.0]"
concat_featuree,"[0.71635, 0.0]","[-0.59445, 0.0]"
