model,AUC,NLL
bridge_var1,"[0.72987, 0.0]","[-0.56957, 0.0]"
bridge_var2,"[0.72878, 0.0]","[-0.56604, 0.0]"
refine,"[0.72688, 0.0]","[-0.62526, 0.0]"
local_weightc,"[0.7243, 0.0]","[-0.58354, 0.0]"
global_weightc,"[0.72447, 0.0]","[-0.58351, 0.0]"
delay,"[0.72107, 0.0]","[-0.58744, 0.0]"
alter_featuree,"[0.72262, 0.0]","[-0.58192, 0.0]"
concat_featuree,"[0.72042, 0.0]","[-0.58297, 0.0]"
