model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Bridge-Var1-AE,200,0,0.001,1e-05,100,none,0,128,0,,"[0.60036, 0.0]","[-0.61015, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.1,100,none,0,512,0,,"[0.70745, 0.0]","[-0.55677, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.1,100,none,0,256,0,,"[0.70726, 0.0]","[-0.55593, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.1,100,none,0,128,0,,"[0.70775, 0.0]","[-0.55759, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.01,100,none,0,512,0,,"[0.70392, 0.0]","[-0.58221, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.01,100,none,0,256,0,,"[0.70471, 0.0]","[-0.57957, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.01,100,none,0,128,0,,"[0.70407, 0.0]","[-0.58027, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.001,100,none,0,512,0,,"[0.69425, 0.0]","[-0.59665, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.001,100,none,0,256,0,,"[0.69546, 0.0]","[-0.59672, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.001,100,none,0,128,0,,"[0.69561, 0.0]","[-0.61178, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.0001,100,none,0,512,0,,"[0.69256, 0.0]","[-0.5989, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.0001,100,none,0,256,0,,"[0.69372, 0.0]","[-0.61524, 0.0]"
Bridge-Var1-AE,200,0,0.0001,0.0001,100,none,0,128,0,,"[0.69474, 0.0]","[-0.61378, 0.0]"
Bridge-Var1-AE,200,0,0.0001,1e-05,100,none,0,512,0,,"[0.69251, 0.0]","[-0.64218, 0.0]"
Bridge-Var1-AE,200,0,0.0001,1e-05,100,none,0,256,0,,"[0.69357, 0.0]","[-0.61546, 0.0]"
Bridge-Var1-AE,200,0,0.0001,1e-05,100,none,0,128,0,,"[0.69465, 0.0]","[-0.61399, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.1,100,none,0,512,0,,"[0.70816, 0.0]","[-0.55209, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.1,100,none,0,256,0,,"[0.70766, 0.0]","[-0.55173, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.1,100,none,0,128,0,,"[0.70605, 0.0]","[-0.55258, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.01,100,none,0,512,0,,"[0.70795, 0.0]","[-0.57119, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.01,100,none,0,256,0,,"[0.70932, 0.0]","[-0.56981, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.01,100,none,0,128,0,,"[0.70712, 0.0]","[-0.56948, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.001,100,none,0,512,0,,"[0.70372, 0.0]","[-0.58482, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.001,100,none,0,256,0,,"[0.7038, 0.0]","[-0.58367, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.001,100,none,0,128,0,,"[0.70407, 0.0]","[-0.58287, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.0001,100,none,0,512,0,,"[0.70236, 0.0]","[-0.58733, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.0001,100,none,0,256,0,,"[0.7021, 0.0]","[-0.58614, 0.0]"
Bridge-Var1-AE,200,0,1e-05,0.0001,100,none,0,128,0,,"[0.70298, 0.0]","[-0.58524, 0.0]"
Bridge-Var1-AE,200,0,1e-05,1e-05,100,none,0,512,0,,"[0.70229, 0.0]","[-0.58754, 0.0]"
Bridge-Var1-AE,200,0,1e-05,1e-05,100,none,0,256,0,,"[0.70195, 0.0]","[-0.58642, 0.0]"
Bridge-Var1-AE,200,0,1e-05,1e-05,100,none,0,128,0,,"[0.70289, 0.0]","[-0.5857, 0.0]"
