model,AUC,NLL
bridge_var1,"[0.69622, 0.0]","[-0.61263, 0.0]"
bridge_var2,"[0.68747, 0.0]","[-0.60845, 0.0]"
refine,"[0.69347, 0.0]","[-0.70047, 0.0]"
local_weightc,"[0.6917, 0.0]","[-0.64818, 0.0]"
global_weightc,"[0.69124, 0.0]","[-0.64835, 0.0]"
delay,"[0.68462, 0.0]","[-0.66176, 0.0]"
alter_featuree,"[0.67974, 0.0]","[-0.64652, 0.0]"
concat_featuree,"[0.6771, 0.0]","[-0.62584, 0.0]"
