model,AUC,NLL
bridge_var1,"[0.65057, 0.0]","[-0.4725, 0.0]"
bridge_var2,"[0.62152, 0.0]","[-0.52163, 0.0]"
refine,"[0.64247, 0.0]","[-0.4783, 0.0]"
local_weightc,"[0.66491, 0.0]","[-0.45569, 0.0]"
global_weightc,"[0.66268, 0.0]","[-0.45543, 0.0]"
delay,"[0.65278, 0.0]","[-0.45351, 0.0]"
alter_featuree,"[0.64976, 0.0]","[-0.45824, 0.0]"
concat_featuree,"[0.64245, 0.0]","[-0.45064, 0.0]"
