model,AUC,NLL
bridge_var1,"[0.6875, 0.0]","[-0.53394, 0.0]"
bridge_var2,"[0.67411, 0.0]","[-0.52978, 0.0]"
refine,"[0.67822, 0.0]","[-0.57245, 0.0]"
local_weightc,"[0.68528, 0.0]","[-0.5385, 0.0]"
global_weightc,"[0.68445, 0.0]","[-0.53978, 0.0]"
delay,"[0.67483, 0.0]","[-0.54567, 0.0]"
alter_featuree,"[0.67821, 0.0]","[-0.54306, 0.0]"
concat_featuree,"[0.67489, 0.0]","[-0.5474, 0.0]"
