model,AUC,NLL
refine,"[0.7277, 0.0]","[-0.6252, 0.0]"
refine,"[0.7285, 0.0]","[-0.6315, 0.0]"
refine,"[0.7282, 0.0]","[-0.6355, 0.0]"
refine,"[0.717, 0.0]","[-0.6488, 0.0]"
