model,AUC,NLL
bridge_var1,"[0.72628, 0.0]","[-0.68986, 0.0]"
bridge_var2,"[0.69259, 0.0]","[-0.69321, 0.0]"
refine,"[0.7017, 0.0]","[-0.76099, 0.0]"
local_weightc,"[0.70594, 0.0]","[-0.71649, 0.0]"
global_weightc,"[0.70561, 0.0]","[-0.71597, 0.0]"
delay,"[0.70498, 0.0]","[-0.71764, 0.0]"
alter_featuree,"[0.6799, 0.0]","[-0.80744, 0.0]"
concat_featuree,"[0.69057, 0.0]","[-0.93119, 0.0]"
