model,AUC,NLL
bridge_var1,"[0.72468, 0.0]","[-0.58602, 0.0]"
bridge_var2,"[0.72379, 0.0]","[-0.58497, 0.0]"
refine,"[0.72582, 0.0]","[-0.62747, 0.0]"
local_weightc,"[0.72337, 0.0]","[-0.58549, 0.0]"
global_weightc,"[0.72337, 0.0]","[-0.58567, 0.0]"
delay,"[0.72007, 0.0]","[-0.58759, 0.0]"
alter_featuree,"[0.72327, 0.0]","[-0.58708, 0.0]"
concat_featuree,"[0.71233, 0.0]","[-0.5838, 0.0]"
